Post_Title,Description,Post_Category,Borough,Location,Post_Price,Sqft,Private Room,Private Bath,Laundry,Parking,Bedrooms,Bathrooms,Success
Pay Per Night a REPEATED RENTAL 1BD Fully Furnished Apartment in UWS,"Hello, my name is Cheryl and I am looking for people needing repeat bookings. Specifically, I am looking for someone who would like to share my Upper West Side apartment part time. My availability is pretty much wide open at this point so I can be flexible. The cost would be equal to my nightly rate times the number of nights you are at my space. 

Don't hesitate to reach out with any questions you might have about myself or the space. Just let me know of the nights you would be looking for. I am happy to go through Split Lease too, but I can offer a cheaper price through Craigslist.
",,manhattan,Upper West Side,2000,0,TRUE,TRUE,laundry in bldg,street parking,1,1,1
"GHOST ROOMMATE Situation Bright and Modern UWS Studio, Split the lease","Lovely historical place in the safest area of Manhattan. The building was built in 1900.
Central Park, Riverside Park are walkable. I am ideally looking for someone who needs my space for the weekdays each week. You’d pay for only the nights you are there. I will be able to provide a place for you to leave your things while you are away as well. Nightly price would vary slightly depending on your unique situation. If you are looking for a work stay with different terms (not weekdays each week), please reach out. At the least, I am looking for a repeat renter of my space.

I am on Split Lease too, but I can give a cheaper price through Craigslist.

Trader Joe’s and Whole Foods supermarkets are a few blocks away.
Just three blocks to the express and local subway stations: 1,2,3. Only 8 minutes to Times Square. Also, the apartment is on the ground floor, so you might hear some street noise.

Separate entrance, fridge, freezer, french press, iron, hair dryer, printer, WiFi, speakers, kitchen, AC, coffee machine. 
",,manhattan,Upper West Side,1750,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
HYBRID WORK Spacious & Modern Large 1 BR Harlem’s Apt,"This space is ideal for someone needing a space for their in-office days. I am looking for a renter who needs the space for some, but not all, nights each week. Ideally something like Mon-Fri would be great but I can be flexible so reach out. I would charge a nightly rate that could vary depending on your length of stay and the amount of nights that you need each week. 

Beautiful one bedroom apartment. Plenty of natural light in the spacious living room and bedroom. Full bathroom and kitchen. Side area for home office or desk. Garbage chute right outside the door. Elevator building; walkup stairs right outside of the unit. Unit is on the 1st floor.

Just let me know of the nights you would be looking for. I am happy to go through Split Lease too, but I can offer a cheaper price through Craigslist.
",,manhattan,Harlem / Morningside,2200,0,TRUE,TRUE,laundry in bldg,street parking,1,1,1
COMMUTE SOLUTION 1 Bd Beautiful Midtown East Apartment for Repeated renters,"The apartment is available as a Split Lease or Reverse Lease. Perfect for a commuter or hybrid worker who needs to be in the city for just part time. Just pay for the nights you are there. The place is available to be booked on Split Lease too, but the price will be cheaper on Craigslist.

Clean unit in a great location close to shopping, transportation, restaurants etc. There are 24/7 security cameras in the lobby for safety. Let me know if you have any additional questions about the space.

Just let me know a little about yourself and your situation when reaching out. There would be a 30 night minimum for the initial booking. The nightly price will vary slightly depending on your unique situation. I can be flexible in terms of amending dates after the initial booking. 
",,manhattan,Midtown East,1900,0,TRUE,TRUE,laundry in bldg,street parking,1,1,1
HYBRID WORK SCHEDULE RENTAL Cozy Fully Furnished Beautiful Astoria Studio,"We are located just 5 min walking from the subway Ditmars Blvd - Astoria
We are surrounded by bars and restaurants. The apartment is listed as a Split Lease. I'm looking for a renter who needs a place for their in-office days. Just pay for the nights before your in-office days and I would be happy to provide you with a storage space for you to leave your things during the time you are away.


9 min walk to Astoria Park.
22 min from 59 Lexington Ave.
24 min from 5th Ave.
25 min from Central Park.
30 min from Time Squares.
35 min from Macy’s.
Come to NYC and have a great time with us!
 
Total up to 4 guests :
1 queen bed ( 2pl)
1 twin bed
1 couch
I’m on Split Lease too, but the price will be about 10% cheaper here on Craigslist.
",,queens,,1800,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
PART TIME Renters Quiet and Modern 1 BD w/Private Terrace FiDi’s Apartment,"Enjoy New York City in a 930 sq ft (90sqmt) one-bedroom apartment with a 350 sq ft (32sqmt) private terrace in Manhattan's FIDI. 11ft ceilings. The space is available as a Split Lease, a part-time repeat stay. Ideally, I would like someone who is looking to split the week each week, such as taking the weekdays each week. I’m flexible, so even if you are looking for part of the month each month, reach out! There is a 30 night minimum requirement for the initial booking.

Just let me know of the nights you would be looking for. I am happy to go through Split Lease too, but I can offer a cheaper price through Craigslist.

Fully and comfortably furnished. Gourmet kitchen. Office. Doorman building. Central HVAC, wifi, cable. Quiet, light, peaceful. In the middle of things, yet private, quiet, peaceful. Lots of light and air. Close to the South Street Seaport - World Trade Center. Right by all major subway lines:2 3 4 5 A C J Z  at Fulton St-Broadway-Nassau, less than 500 feet away

Excellent restaurants, theatre, shopping, museums.  Historical sights, parks, bike paths, the Occulus, Staten Island Ferry, East River ferries, 9/11 memorials. Includes use of entrance cards to the Museum of Modern Art, the Metropolitan Museum of Art. the Museum of Jewish Heritage.
",,manhattan,Financial District,2000,930,TRUE,TRUE,laundry on site,street parking,1,1,1
Hybrid work? I gotchu 1 Private BD Apartment w/ Gorgeous Rooftop in Murray Hill,"The apartment is listed as a Split Lease. I'm looking for a renter who needs a place for their in-office days. Just pay for the nights before your in-office days and I would be happy to provide you with a storage space for you to leave your things during the time you are away.

Amazing 24/7 luxury doorman building. Great rooftop: incredible view! Gorgeous huge apartment, safest neighborhood in Manhattan (Murray Hill). Between 3rd Ave & Lexington Ave. Right in front of the Pathology NYU Medical Center. 3 blocks away from the Empire State Building. Perfect location! Subway station is 33 Street (line 6); the bus stop is right in front of the building. The bedroom is private; common areas: bathroom, kitchen & living room. 4 elevators and a laundry room in the basement. 10th floor.

I’m on Split Lease too, but the price will be about 10% cheaper here on Craigslist.

Murray Hill is the best neighborhood in Manhattan and full of hospitals. Absolutely everything you need and whatever you want you find it just a few steps away! It's super safe, complete, trendy, and fascinating! You find hospitals, bars, restaurants, coffee shops, movie theaters, gyms, shops, hair salons, banks, museums, nail salons, parks, diners, liquor stores, supermarkets, pharmacies, rooftops and more! Just check out the map and you'll be amazed!
",,manhattan,Murray Hill,1500,0,TRUE,FALSE,laundry in bldg,street parking,1,shared,1
GHOST ROOMMATE Cozy Private Studio Apartment in Astoria,"Building has a secure code for entrance. WiFi/cable included. Comes with a full size bed, tv, couch, dining area, mini-fridge/freezer, microwave, linen and cleaning supplies. Closet available. Laundromat is one block away. Astoria park right across the street. 

I am ideally looking for someone who needs my space for the weekdays each week. You’d pay for only the nights you are there. I will be able to provide a place for you to leave your things while you are away as well. Nightly price would vary slightly depending on your unique situation. If you are looking for a work stay with different terms (not weekdays each week), please reach out. At the least, I am looking for a repeat renter of my space. I am on Split Lease too, but I can give a cheaper price through Craigslist.
",,queens,,1650,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
REPEATING RENTAL in Fully Furnished and Cozy Upper Manhattan Studio,"Harlem Studio available to Split Lease! The space is in a great location and is just minutes from NYC. I am looking for someone who would need space for part of the week each week, like Mon-Fri each week. The nightly price would vary depending on your unique situation!.

The space would be empty during the time you are away, unless I find a renter with complimentary nights. I would be happy to provide secured storage for you to leave some things in the space during the time you are away. You can find my listing on Split Lease too, but the price will be cheaper on Craigslist. I can be flexible, so if you think this space would work for you, don’t hesitate to reach out.
",,manhattan,Harlem / Morningside,1400,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
Hybrid work? Part of the week in office? Cozy 1BD Garden Apartment Close to Manhattan,"I am ideally looking for someone who needs my space for the weekdays each week. You’d pay for only the nights you are there. I will be able to provide a place for you to leave your things while you are away as well. Nightly price would vary slightly depending on your unique situation. If you are looking for a work stay with different terms (not weekdays each week), please reach out. At the least, I am looking for a repeat renter of my space. I am on Split Lease too, but I can give a cheaper price through Craigslist.

This is a 1 bedroom garden apartment located on the ground floor of my home - just 15 minutes from NYC. I live upstairs, so you can pop in anytime to ask questions or to just hang out!

ABOUT YOUR APARTMENT and the house:
* There is a fully equipped kitchen with refrigerator, stove, microwave, toaster oven and more ... We encourage you to make yourself at home. Depending on the length of your stay, you can stack up on food and drink, there is plenty of storage space! We suggest restaurants (menus available including those that deliver!)
* We will provide a set of keys to the front door and the apartment to assure privacy and security
In addition to a very comfortable double bed there is a couch in the living room that can sleep an extra person.
* Free WIFI
* Includes all linens, blankets, towels and pillows
* Fully equipped kitchen
* LGBT friendly
* Pet friendly
",,new jersey,,1450,0,TRUE,TRUE,laundry in bldg,street parking,1,1,1
COMMUTE SOLUTION Lightful Furnished Harlem’s 1 BD Apartment Near City College,"My beautiful home in Hamilton Heights, in the heart of Harlem, is a large apartment on the fifth floor with views to Riverside Drive, one of the most stunning avenues in Manhattan, along the Hudson River. This space is ideal for someone needing a space for their in-office days. I am looking for a renter who needs the space for some, but not all, nights each week. Ideally something like Mon-Fri would be great but I can be flexible so reach out. I would charge a nightly rate that could vary depending on your length of stay and the amount of nights that you need each week. 

Just let me know a little about yourself and your situation when reaching out. There would be a 30 night minimum for the initial booking. The nightly price will vary slightly depending on your unique situation. I can be flexible in terms of amending dates after the initial booking. 

The apartment has hardwood floors, high ceilings and includes a total of 8 windows (it is a corner apartment) offering plenty of light (much needed during winter times). The dining-living area has a large library decorated with colorful and elegant furniture pieces. The kitchen has new appliances, a stove, and refrigerator, as well as a dishwasher.  The living room has an elegant and comfortable sofa bed that opens up. Next to the living room, there is a studio or den with a single sofa bed and a desk.

The large bedroom offers a queen bed with a designed closet that has a window shutter which adds a sophisticated touch. Colleagues, scholars, and artists will love its vibe for the creative mind!
",,manhattan,Harlem / Morningside,2800,900,TRUE,TRUE,w/d in unit,street parking,1,1,1
GHOST ROOMMATE rental in Spacious Furnished 1BR Apt on Inwood Hill Park,"Recently renovated, nicely furnished 1 bedroom and 1 bath apartment in Inwood, Upper Manhattan. The apartment is listed as a Split Lease. I'm looking for a renter who needs a place for their in-office days. Just pay for the nights before your in-office days and I would be happy to provide you with a storage space for you to leave your things during the time you are away.

Full kitchen with gas range, microwave, and dishwasher. Secure building steps from Inwood Hill Park and Allen Hospital. Apt. on the 2nd floor, easy in/out access from the street. Size approx. 750 Sqft. Has closet space for 1-2 residents and the kitchen also has ample storage. 5 minute walk to A train, 1 train. Allen Hospital and Metro North (Marble Hill/Hudson Line) are both less than 10 minutes walk. Non-Smoker. Owners may consider renters with a cat or small dog. Max. Residents: 2.

I’m on Split Lease too, but the price will be about 10% cheaper here on Craigslist.
",,manhattan,Inwood / Wash Hts,1950,750,TRUE,TRUE,w/d in unit,street parking,1,1,1
"RENT WEEKDAYS, PAY PER NIGHT in 1 BD Home Feel Jackson Heights Room","This is a private room and full bath on the third floor of a private landmarked house in the historic district of Jackson Heights, Queens, NY. I am ideally looking for someone who needs my space for the weekdays each week. You’d pay for only the nights you are there. I will be able to provide a place for you to leave your things while you are away as well. Nightly price would vary slightly depending on your unique situation. If you are looking for a work stay with different terms (not weekdays each week), please reach out. At the least, I am looking for a repeat renter of my space. I am on Split Lease too, but I can give a cheaper price through Craigslist.

Use of an additional bedroom on the third floor is ok. We can supply or remove furnishings if needed. Well behaved pets are fine.

House has a small private backyard and garden plus an outdoor grill for your use. Flexible dates for move in/out.
",,queens,,1300,0,TRUE,TRUE,laundry on site,street parking,1,1,1
PART TIME Rental/PAY PER NIGHT Beautiful Studio Apt. in Prime Nolita,"The unit has been fully renovated top to bottom and comes with all furnishings included: Beds, dresser, desk, lamps, kitchenware, linens, and towels! 

I am ideally looking for someone who needs my space for the weekdays each week. You’d pay for only the nights you are there. I will be able to provide a place for you to leave your things while you are away as well. Nightly price would vary slightly depending on your unique situation. If you are looking for a work stay with different terms (not weekdays each week), please reach out. At the least, I am looking for a repeat renter of my space.

I am on Split Lease too, but I can give a cheaper price through Craigslist.

The apartment has been tastefully decorated and furnished with new hardwood floors throughout. Location is everything here, enjoy all the attractions of Nolita including cafes, trendy shops, restaurants, and nightlife. Multiple train lines at Broadway/Lafayette! Call or email for your showing today.
",,manhattan,Lower East Side,1900,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
Commuter Home Cozy 2 BD Fully Furnished Apt. in Bedford Stuyvesant,"Beautifully furnished. The space is available as a Split Lease, a part-time repeat stay. Ideally, I would like someone who is looking to split the week each week, such as taking the weekdays each week. I’m flexible, so even if you are looking for part of the month each month, reach out! There is a 30 night minimum requirement for the initial booking.

Just let me know of the nights you would be looking for. I am happy to go through Split Lease too, but I can offer a cheaper price through Craigslist.

Contains everything you need to enjoy your stay. It is close to a lot of restaurants and public transport. Kitchen includes a microwave, stove, oven, and refrigerator. Let me know if you have any questions about the space.
",,brooklyn,,2100,0,TRUE,TRUE,no laundry on site,street parking,2,1,1
HYBRID WORK Schedule Cozy Entire Place 1BD 1BTH Midtown Apartment,"Midtown Apartment available to Split Lease! The space is in a great location and is just minutes from NYC. I am looking for someone who would need space for part of the week each week, like Mon-Fri each week. The nightly price would vary depending on your unique situation!.

Minimum time 4 -6 weeks. This is an excellent opportunity to have a midtown Manhattan apartment for 1-3 guests for the price of what was formerly just one guest in one room. This offer is only for the summer thanks. Please book no less than 10 before as I am out of town and would need to organize getting back to set you up.

The space would be empty during the time you are away, unless I find a renter with complimentary nights. I would be happy to provide secured storage for you to leave some things in the space during the time you are away. You can find my listing on Split Lease too, but the price will be cheaper on Craigslist. I can be flexible, so if you think this space would work for you, don’t hesitate to reach out.
",,manhattan,Chelsea,1920,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
SPLIT LEASE Cozy & Private Room in Dynamic Harlem,"This affordably priced private bedroom is in the most convenient spot in New York City outside of midtown Manhattan. 

Located on the 5th floor of an elevator building. The space is available as a Split Lease, a part-time repeat stay. Ideally, I would like someone who is looking to split the week each week, such as taking the weekdays each week. I’m flexible, so even if you are looking for part of the month each month, reach out! There is a 30 night minimum requirement for the initial booking.

Just let me know of the nights you would be looking for. I am happy to go through Split Lease too, but I can offer a cheaper price through Craigslist.

I can boldly say this is one of the more beautiful neighborhoods in town. City College is a mere two blocks away, with tons of young people filling the sidewalks during the day. Long-time residents along with newcomers make for a vibrant scene of people. Historic brownstones, beautiful architecture, and lush parks abound. Great restaurants, bars, and tiny food shops can be found at almost every corner. All utilities (heat, gas, and Wi-Fi) are included.
",,manhattan,Harlem / Morningside,1500,0,TRUE,FALSE,laundry in bldg,street parking,1,1,1
Part of the week RENTER Beautiful Studio Apt. in Upper Manhattan,"I am ideally looking for someone who needs my space for the weekdays each week. You’d pay for only the nights you are there. I will be able to provide a place for you to leave your things while you are away as well. Nightly price would vary slightly depending on your unique situation. If you are looking for a work stay with different terms (not weekdays each week), please reach out. At the least, I am looking for a repeat renter of my space. I am on Split Lease too, but I can give a cheaper price through Craigslist. This unique place has a style all its own. 

-269 West 132nd Street, Unit A1
-This is a full renovated artistic loft style studio
-Washer/Dryer in building
-Apartment in an elegant brownstone building on the Safe, quiet, elegant tree-lined West132nd Street
Manhattan, cross Frederick Douglass Blvd.
- At the street corner, filled with restaurants, Deli, Bars, supermarkets, laundry mat, and banks at your most convenience.
- More than 10 hospitals within 5 miles including those big names such as Columbia, Sinai Mountain, New York
Presbyterian, Cornell, etc.
-0.3 mile to B, C trains at 135 St station
- 0.4 mile to 2,3 trains at 135 St station;
- 0.5 mile to A, D express trains at 125 St station
-MTA Bus station just at the street corner
",,manhattan,Upper West Side,1795,0,TRUE,TRUE,w/d in unit,street parking,0,1,1
COMMUTE SOLUTION Fully Furnished 2 BD w/Amazing NYC Views for Repeated rental,"Beautiful modern apartment with 2 full bedrooms and bathrooms and unobstructed NYC Skyline Views with modern furniture and stainless steel appliances. 

This space is ideal for someone needing a space for their in-office days. I am looking for a renter who needs the space for some, but not all, nights each week. Ideally something like Mon-Fri would be great but I can be flexible so reach out. I would charge a nightly rate that could vary depending on your length of stay and the amount of nights that you need each week.

This unit is approximately 1700sq ft with lots of natural light in all rooms. This spacious apartment has 2 beds, 2 baths, sunroom, living room, dining room, and full in unit laundry room. Each bedroom is equipped with a king bed, and the master bed has an ensuite bathroom. The apartment has all the utilities and appliances you will need (Central Air, dishwasher, laundry, 2 indoor garage spaces and storage).

Here you will be steps away from a gorgeous 167 acre park, and a bus station to bring you to NYC in 15 minutes (3 operating bus lines). Located right on the riverfront which will give you breathtaking NYC views, which can also be enjoyed from the comfort of the apartment.

Booking will be 10% cheaper through Craigslist compared to Split Lease.
",,new jersey,,2500,0,TRUE,TRUE,w/d in unit,street parking,2,2,1
"CHOOSE YOUR NIGHTS each week in Lovely 2BD Washington Heights Apt. 
","This two-bedroom, one bathroom light-filled Uptown Manhattan apartment is located in the vibrant Washington Heights neighborhood- only minutes from the Columbia Presbyterian Medical Complex and blocks from rapid-transit linking all the major attractions of NYC! Ghost roommate situation wanted. I would like someone to be in the space for up to 5 nights per week, with 4 nights being ideal. You would just pay by the week for the nights you are there. I can provide a discount for longer stays. Be sure to give me some information about yourself and your situation when reaching out. There would be a 30 night minimum for the initial booking. I can provide some flexibility for you to rearrange your dates after booking too! So don’t feel you have to know all the nights you need up front.

Your 'home away from home' is only steps away from the subway, supermarket, hundreds of restaurants, coffee shops, bars, and more. The space is wonderful two bedroom, light-filled apartment designed with care and consideration for our guests:

- All linens and towels are natural fiber cotton and are professionally cleaned in a high-temperature industrial laundry 
- Pillows and duvet are natural down (we don't use synthetic fill)
- You will arrive to an apartment which has been professionally cleaned by a person who's paid well, from the neighborhood, and who's allotted enough time to do a great job (4 hours for the apartment). It's expensive, but we've never received less than 5-stars on cleanliness.
- High speed internet included and network Roku-enabled TV where guests can log into their own netflix/amazon prime video/hulu accounts
- Full kitchen with cooking and dining utensils

The price will be 10% lower when going through Craigslist rather than Split Lease.
",,manhattan,Inwood / Wash Hts,2000,0,TRUE,TRUE,laundry in bldg,street parking,2,1,1
Tired of Hotels? Repeated rentals in Beautiful 1 Bedroom Apt. with in-unit W/D ,"UWS Apartment available to Split Lease! The space is in a great location and is just minutes from NYC. I am looking for someone who would need space for part of the week each week, like Mon-Fri each week. The nightly price would vary depending on your unique situation!.

The space would be empty during the time you are away, unless I find a renter with complimentary nights. I would be happy to provide secured storage for you to leave some things in the space during the time you are away. You can find my listing on Split Lease too, but the price will be cheaper on Craigslist. I can be flexible, so if you think this space would work for you, don’t hesitate to reach out.

Modern 1 BR, 1 BA will all the amenities needed by a traveling professional. In-unit washer/dryer, central AC, virtual doorman, secure package room, rooftop deck are some of the available amenities. In addition, the apartment is located in the back of the building ensuring peace and quiet as well as plenty of natural light streaming into the living and bedroom with windows looking out on to the community garden.

The building is conveniently located between major subway lines that can bring you to midtown within 15 minutes. There are plenty of trendy restaurants, coffee shops and bars within a 5 minute walking distance.

Please note - Electric/gas are included in the monthly rent but charges exceeding $75/month will be deducted from the security deposit at the end of the rental period. 
",,manhattan,Upper West Side,1900,0,TRUE,TRUE,w/d in unit,street parking,1,1,1
Pay Per Night Spacious and Modern Renovated Central Harlem’s Private Space,"Fully furnished, very large and bright bedroom with its own bathroom and separated toilet in the bedroom, located on the second floor of our 4 floors townhouse in Central Harlem. The space is available as a Split Lease, a part-time repeat stay. Ideally, I would like someone who is looking to split the week each week, such as taking the weekdays each week. I’m flexible, so even if you are looking for part of the month each month, reach out! There is a 30 night minimum requirement for the initial booking.

Just let me know of the nights you would be looking for. I am happy to go through Split Lease too, but I can offer a cheaper price through Craigslist.

Very conveniently located near the subway lines 2/3 and ABCD, you can get anywhere in Manhattan very easily. Bars, restaurants, and stores are around the corner. Supermarket 5 minutes away. 

What you need to know about the space:
• Furnished with a full-size bed, bedside table, armchair, and bookcase 
• Three windows

What you need to know about the apartment

• The room is located on the 2nd floor. I am renting another room on the same floor. The other room is on the opposite side.  
• shared a kitchenette with the second bedroom.
• New clean private bathroom
• Brand new hardwood floors
",,manhattan,Harlem / Morningside,1400,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
GHOST ROOMMATE Sunny Studio Fully Furnished with 8 ft Windows,"Perfect Furnished Sunny Studio with 8 ft windows, 12 ft ceilings! Featuring a Freshly remodeled open layout apartment in the up and coming South Bronx Historic district. 1 stop to Manhattan, 15 minutes to midtown. I am ideally looking for someone who needs my space for the weekdays each week. You’d pay for only the nights you are there. I will be able to provide a place for you to leave your things while you are away as well. Nightly price would vary slightly depending on your unique situation. If you are looking for a work stay with different terms (not weekdays each week), please reach out. At the least, I am looking for a repeat renter of my space.

I am on Split Lease too, but I can give a cheaper price through Craigslist.

* Includes All utilities! Heat, Hot water, electricity and Free Internet!

* Located on a quiet block in a nice brick Rowhouse

* New Kitchen Featuring SS appliances!

* Fresh New Bath with walk in shower

* Open Living/Kitchen/Bedroom

* Washer and Dryer in basement

*Excellent subway access Steps to the 2, 4, 5, and 6. 1 stop to Manhattan! 15 quick minutes to midtown.
",,bronx,,1600,0,TRUE,TRUE,laundry in bldg,no parking,0,1,1
SPLIT LEASE Spectacular and Modern 1 BD Condo Gem in West New York,"If location and comfort are critical, lay your eyes on this condo and make it your dream home! This space is ideal for someone needing a space for their in-office days. I am looking for a renter who needs the space for some, but not all, nights each week. Ideally something like Mon-Fri would be great but I can be flexible so reach out. I would charge a nightly rate that could vary depending on your length of stay and the amount of nights that you need each week. 

Just let me know of the nights you would be looking for. I am happy to go through Split Lease too, but I can offer a cheaper price through Craigslist.

Wonderfully furnished from top to bottom, this residence epitomizes modern luxury living with high-quality fixtures. The central living room showcases vaulted ceilings with picture windows that provide a sense of grandeur at all times! The kitchen is appointed with all you may require to make cooking a delight and cleaning effortless. The bedroom is a statement in style and sports a queen-sized bed and a walk-in closet with plenty of storage. There is also a loft available for your use. The bathroom is sleek and has a bathtub and shower combo.
",,new jersey,,2530,0,TRUE,TRUE,laundry in bldg,street parking,1,1,1
PART TIME Rental in Modern Architectural 1 BD Harlem Apartment,"I am ideally looking for someone who needs my space for the weekdays each week. You’d pay for only the nights you are there. I will be able to provide a place for you to leave your things while you are away as well. Nightly price would vary slightly depending on your unique situation. If you are looking for a work stay with different terms (not weekdays each week), please reach out. At the least, I am looking for a repeat renter of my space. I am on Split Lease too, but I can give a cheaper price through Craigslist.

If location, convenience, and access to amenities are important to you, this beautiful apartment is certainly worth consideration. The abundance of natural light flows seamlessly throughout the wide-open spaces of the open-plan living and dining areas. Natural breezes and sunlight flow throughout the apartment, while air-conditioning ensures year-round comfort. 

With wooden floors throughout this home, you will be immersed in the tranquillity of this fantastic property. Quality stainless steel kitchen appliances make cooking a delight and cleaning effortless. 

- Quiet street, near parks, grocery stores, and a short walk to bus transport

- Within a block from 2/3 express trains and Metro-North on 125th street

- NYC's new trendy restaurants Red Rooster, Sylvia's, Starbucks, Harlem Shake, and much more around the corner.

- Beautifully fully stocked kitchen

- Fully tiled bathroom for easy cleaning

With schools, hospitals, shopping and dining precincts, parks, and public transport all on your doorstep, it is easy to see why renters are looking here for the combination of location and convenience. This setting ensures peace and quiet whilst being only a very short drive to all amenities.
",,manhattan,Harlem / Morningside,2600,0,TRUE,TRUE,laundry in bldg,street parking,1,1,1
"HYBRID Work Stay Astoria 1BD 1BTH Large, Private, and Quiet Apartment
","Queens Apartment available to Split Lease! The space is in a great location and is just minutes from NYC. I am looking for someone who would need space for part of the week each week, like Mon-Fri each week. The nightly price would vary depending on your unique situation!.

The space would be empty during the time you are away, unless I find a renter with complimentary nights. I would be happy to provide secured storage for you to leave some things in the space during the time you are away. You can find my listing on Split Lease too, but the price will be cheaper on Craigslist. I can be flexible, so if you think this space would work for you, don’t hesitate to reach out.

Quiet, safe 1901 brownstone type house located in Old Astoria.Windows in every room.
Beautiful, quiet yard with herb garden, ferns, lavender, hydrangea bushes, perennial gardens, grape vines, two huge pine trees, sparrows, robins and cardinals.
",,queens,,1300,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
"HYBRID WORKER Looking to Split a Lease Cozy and Modern 1BD Bronx Apartment
","The space is available as a Split Lease, a part-time repeat stay. Ideally, I would like someone who is looking to split the week each week, such as taking the weekdays each week. I’m flexible, so even if you are looking for part of the month each month, reach out! There is a 30 night minimum requirement for the initial booking.

Just let me know of the nights you would be looking for. I am happy to go through Split Lease too, but I can offer a cheaper price through Craigslist.
 
If location, convenience, and access to amenities are important to you, this beautiful apartment is certainly worth consideration. Relax and appreciate the coolness of open plan living in this light and airy home. Great street-appeal is just the beginning. This property has been immaculately maintained and enjoys the added benefit of being located in a peacefully quiet neighborhood.

The inspired use of internal space is generous with quality fixtures and fittings throughout. The open plan living area adjoins the comfy kitchen - with nice countertops and fully stocked. The bedroom is cozy, and the natural light that flows through makes a comfortable and relaxing personal space.

- Quiet street, near parks, and grocery stores, short walk to bus transport

- Within 15mins drive to 4-5 hospitals

- Central heating keeps the residence cozy during the cooler months

- Tiled living area for easy maintenance

- Laundry room on-premises

- Modern main bathroom with combined bath/shower

- Secure with an alarm
",,bronx,,1800,0,TRUE,TRUE,w/d in unit,street parking,1,1,1
PART TIME/PAY PER NIGHT Cozy Own Private Entrance Brand New Studio in Brooklyn,"Brand new studio near Kings County, Clean, cozy, and really quiet environment. It has its own private entrance and it’s fully furnished with all the amenities needed. I am ideally looking for someone who needs my space for the weekdays each week. You’d pay for only the nights you are there. I will be able to provide a place for you to leave your things while you are away as well. Nightly price would vary slightly depending on your unique situation. If you are looking for a work stay with different terms (not weekdays each week), please reach out. At the least, I am looking for a repeat renter of my space. I am on Split Lease too, but I can give a cheaper price through Craigslist.

Essentials (Kitchenware Bathware Linens)
Air Conditioning
TV
Cable TV
Smoke Detector
Carbon Monoxide Detector
WiFi
Close to public transportation
Stairs at Entrance and/or Inside the Property
Kitchen
Full-size fridge
Non-Smoking
Pets live on this property
Free Parking on Premises
Private Parking available right at the entrance of the unit.
B 12 bus or B 35 bus to 2 and 5 train
",,brooklyn,,1800,0,TRUE,TRUE,no laundry on site,street parking,0,1,1
WEEKENDER HOME Cozy Oasis 1BD 1BR in Brooklyn,"This cozy getaway is tucked away on the third floor of the building - there are two flights of stairs with appropriate sturdy handrails. The apt is open concept and the bedrooms are filled with natural sunlight during the day. 

The apartment is listed as a Split Lease. I'm looking for a renter who needs a place for their in-office days. Just pay for the nights before your in-office days and I would be happy to provide you with a storage space for you to leave your things during the time you are away.

There is a 50 inch flat screen cable ready TV, Wifi is provided. The apt is very warm in the winter season and quite cozy. You can sit and watch cable TV and if that's not enough watch movies on the streaming device. The kitchen is equipped with everything you'll need. There are grocery stores, laundry (right on the corner) and private gym facilities within very short walking distance. Public transportation to NYC (Manhattan) is a 20 minute subway ride away.

I’m on Split Lease too, but the price will be about 10% cheaper here on Craigslist.
",,brooklyn,,1200,0,TRUE,TRUE,no laundry on site,street parking,1,1,1
REPEATING RENTAL Private Bed and Bath in Bronx for Hybrid workers or Commuters,"Great location for a work stay! This is an unbelievable find for NYC area. You would have your own private bedroom and bathroom inside a spacious 2BR and 2bath apartment in a new building with a ton of amenities included in the price. The apartment is available as a Split Lease or Reverse Lease. Perfect for a commuter or hybrid worker who needs to be in the city for just part time. Just pay for the nights you are there. The place is available to be booked on Split Lease too, but the price will be cheaper on Craigslist.

The apartment immaculate, safe and is a 5 min walk to the 6 subway line at 3rd Avenue-138th street, which connects to the express 4 & 5 lines at the next stop in Manhattan at 125th street, providing easy access to many of the NYC hospitals on the East side of Manhattan or express access to hospitals in the Bronx.

I am a non-smoker and expect the same, as smoking is not allowed on premises nor in the outdoor spaces including the balcony. I work 10 to 12 hour days Mondays through Fridays. Would appreciate a tenant who is planning on working a minimum of 3 shifts per week and will be requesting proof of this with your signed contract from your travel company in advance. NYC is an expensive place to live, so I need to ensure that you will be able to manage the costs of living while you are here.

Monthly rent includes access to building amenities (gym, locker room, saunas and pool) as well as wifi & Netflix. Please don't hesitate to contact me via text messaging regarding details of the apartment.

Just let me know a little about yourself and your situation when reaching out. There would be a 30 night minimum for the initial booking. The nightly price will vary slightly depending on your unique situation. I can be flexible in terms of amending dates after the initial booking.
",,bronx,,1795,0,TRUE,TRUE,w/d in unit,street parking,1,1,1
